token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,symbol_clean
13218,SULA-EQ,SULA,,-1.000000,1,,NSE,5.000000,SULA
13275,INDOTECH-EQ,INDOTECH,,-1.000000,1,,NSE,10.000000,INDOTECH
13285,M&MFIN-EQ,M&MFIN,,-1.000000,1,,NSE,5.000000,M&MFIN
13290,BLKASHYAP-EQ,BLKASHYAP,,-1.000000,1,,NSE,1.000000,BLKASHYAP
13300,NITCO-EQ,NITCO,,-1.000000,1,,NSE,1.000000,NITCO
1336,HEG-EQ,HEG,,-1.000000,1,,NSE,5.000000,HEG
13381,KKCL-EQ,KKCL,,-1.000000,1,,NSE,5.000000,KKCL
13430,KELLTONTEC-EQ,KELLTONTEC,,-1.000000,1,,NSE,1.000000,KELLTONTEC
13463,PIONEEREMB-EQ,PIONEEREMB,,-1.000000,1,,NSE,1.000000,PIONEEREMB
13538,TECHM-EQ,TECHM,,-1.000000,1,,NSE,10.000000,TECHM
13585,ATLANTAA-EQ,ATLANTAA,,-1.000000,1,,NSE,1.000000,ATLANTAA
13702,VISHWARAJ-EQ,VISHWARAJ,,-1.000000,1,,NSE,1.000000,VISHWARAJ
13725,DCBBANK-EQ,DCBBANK,,-1.000000,1,,NSE,1.000000,DCBBANK
13753,MANOMAY-EQ,MANOMAY,,-1.000000,1,,NSE,1.000000,MANOMAY
13756,SHIVAMAUTO-EQ,SHIVAMAUTO,,-1.000000,1,,NSE,1.000000,SHIVAMAUTO
13794,BAIDFIN-EQ,BAIDFIN,,-1.000000,1,,NSE,1.000000,BAIDFIN
13839,DONEAR-EQ,DONEAR,,-1.000000,1,,NSE,1.000000,DONEAR
13870,KUANTUM-EQ,KUANTUM,,-1.000000,1,,NSE,1.000000,KUANTUM
13890,HIRECT-EQ,HIRECT,,-1.000000,1,,NSE,10.000000,HIRECT
14019,VEEDOL-EQ,VEEDOL,,-1.000000,1,,NSE,10.000000,VEEDOL
1406,HINDPETRO-EQ,HINDPETRO,,-1.000000,1,,NSE,5.000000,HINDPETRO
14064,ASMS-EQ,ASMS,,-1.000000,1,,NSE,1.000000,ASMS
14086,IGPL-EQ,IGPL,,-1.000000,1,,NSE,5.000000,IGPL
14101,PTL-EQ,PTL,,-1.000000,1,,NSE,1.000000,PTL
14116,GANDHITUBE-EQ,GANDHITUBE,,-1.000000,1,,NSE,5.000000,GANDHITUBE
14203,HUBTOWN-EQ,HUBTOWN,,-1.000000,1,,NSE,1.000000,HUBTOWN
14245,TVSSRICHAK-EQ,TVSSRICHAK,,-1.000000,1,,NSE,10.000000,TVSSRICHAK
14309,INDIANB-EQ,INDIANB,,-1.000000,1,,NSE,5.000000,INDIANB
14398,AMDIND-EQ,AMDIND,,-1.000000,1,,NSE,1.000000,AMDIND
1448,HLVLTD-EQ,HLVLTD,,-1.000000,1,,NSE,1.000000,HLVLTD
14523,ICRA-EQ,ICRA,,-1.000000,1,,NSE,50.000000,ICRA
14582,SRHHYPOLTD-EQ,SRHHYPOLTD,,-1.000000,1,,NSE,5.000000,SRHHYPOLTD
14584,PSUBNKIETF-EQ,PSUBNKIETF,,-1.000000,1,,NSE,1.000000,PSUBNKIETF
14764,071NSETEST-EQ,071NSETEST,,-1.000000,1,,NSE,5.000000,071NSETEST
14772,101NSETEST-EQ,101NSETEST,,-1.000000,1,,NSE,5.000000,101NSETEST
14977,POWERGRID-EQ,POWERGRID,,-1.000000,1,,NSE,5.000000,POWERGRID
15044,DELTACORP-EQ,DELTACORP,,-1.000000,1,,NSE,1.000000,DELTACORP
15058,AVALON-EQ,AVALON,,-1.000000,1,,NSE,5.000000,AVALON
15073,BVCL-EQ,BVCL,,-1.000000,1,,NSE,1.000000,BVCL
15119,EDELWEISS-EQ,EDELWEISS,,-1.000000,1,,NSE,1.000000,EDELWEISS
15129,RGL-EQ,RGL,,-1.000000,1,,NSE,1.000000,RGL
15146,JYOTHYLAB-EQ,JYOTHYLAB,,-1.000000,1,,NSE,5.000000,JYOTHYLAB
15204,ARIES-EQ,ARIES,,-1.000000,1,,NSE,5.000000,ARIES
15342,SHALPAINTS-EQ,SHALPAINTS,,-1.000000,1,,NSE,1.000000,SHALPAINTS
15380,MANKIND-EQ,MANKIND,,-1.000000,1,,NSE,10.000000,MANKIND
15399,EIHAHOTELS-EQ,EIHAHOTELS,,-1.000000,1,,NSE,5.000000,EIHAHOTELS
15589,AVG-EQ,AVG,,-1.000000,1,,NSE,5.000000,AVG
15840,LATTEYS-EQ,LATTEYS,,-1.000000,1,,NSE,1.000000,LATTEYS
1614,FAIRCHEMOR-EQ,FAIRCHEMOR,,-1.000000,1,,NSE,5.000000,FAIRCHEMOR
16249,INFIBEAM-EQ,INFIBEAM,,-1.000000,1,,NSE,1.000000,INFIBEAM
16589,VAISHALI-EQ,VAISHALI,,-1.000000,1,,NSE,1.000000,VAISHALI
16683,DIGISPICE-EQ,DIGISPICE,,-1.000000,1,,NSE,1.000000,DIGISPICE
16696,GHCLTEXTIL-EQ,GHCLTEXTIL,,-1.000000,1,,NSE,1.000000,GHCLTEXTIL
16705,GOKUL-EQ,GOKUL,,-1.000000,1,,NSE,1.000000,GOKUL
16863,LPDC-EQ,LPDC,,-1.000000,1,,NSE,1.000000,LPDC
16900,DPWIRES-EQ,DPWIRES,,-1.000000,1,,NSE,5.000000,DPWIRES
17053,HMAAGRO-EQ,HMAAGRO,,-1.000000,1,,NSE,1.000000,HMAAGRO
1708,JAYBARMARU-EQ,JAYBARMARU,,-1.000000,1,,NSE,1.000000,JAYBARMARU
17105,SUMICHEM-EQ,SUMICHEM,,-1.000000,1,,NSE,5.000000,SUMICHEM
17140,IDEAFORGE-EQ,IDEAFORGE,,-1.000000,1,,NSE,5.000000,IDEAFORGE
12603,PRECAM-EQ,PRECAM,,-1.000000,1,,NSE,1.000000,PRECAM
13111,ORIENTCER-EQ,ORIENTCER,,-1.000000,1,,NSE,1.000000,ORIENTCER
13197,GSPL-EQ,GSPL,,-1.000000,1,,NSE,5.000000,GSPL
13236,SADBHAV-EQ,SADBHAV,,-1.000000,1,,NSE,1.000000,SADBHAV
13276,LANDMARK-EQ,LANDMARK,,-1.000000,1,,NSE,5.000000,LANDMARK
1333,HDFCBANK-EQ,HDFCBANK,,-1.000000,1,,NSE,10.000000,HDFCBANK
13414,RSYSTEMS-EQ,RSYSTEMS,,-1.000000,1,,NSE,5.000000,RSYSTEMS
13457,KAMDHENU-EQ,KAMDHENU,,-1.000000,1,,NSE,1.000000,KAMDHENU
13517,EMAMILTD-EQ,EMAMILTD,,-1.000000,1,,NSE,5.000000,EMAMILTD
13611,IRCTC-EQ,IRCTC,,-1.000000,1,,NSE,5.000000,IRCTC
13710,FIEMIND-EQ,FIEMIND,,-1.000000,1,,NSE,10.000000,FIEMIND
13745,GTLINFRA-EQ,GTLINFRA,,-1.000000,1,,NSE,1.000000,GTLINFRA
13826,SOBHA-EQ,SOBHA,,-1.000000,1,,NSE,10.000000,SOBHA
13868,AARTIPHARM-EQ,AARTIPHARM,,-1.000000,1,,NSE,5.000000,AARTIPHARM
13880,BANCOINDIA-EQ,BANCOINDIA,,-1.000000,1,,NSE,5.000000,BANCOINDIA
14014,LUMAXTECH-EQ,LUMAXTECH,,-1.000000,1,,NSE,5.000000,LUMAXTECH
1412,AGI-EQ,AGI,,-1.000000,1,,NSE,5.000000,AGI
1415,GLOBAL-EQ,GLOBAL,,-1.000000,1,,NSE,1.000000,GLOBAL
14198,TIMKEN-EQ,TIMKEN,,-1.000000,1,,NSE,10.000000,TIMKEN
14230,HDFCBSE500-EQ,HDFCBSE500,,-1.000000,1,,NSE,1.000000,HDFCBSE500
14305,OSWALSEEDS-EQ,OSWALSEEDS,,-1.000000,1,,NSE,1.000000,OSWALSEEDS
14329,SMSPHARMA-EQ,SMSPHARMA,,-1.000000,1,,NSE,5.000000,SMSPHARMA
1442,SANOFI-EQ,SANOFI,,-1.000000,1,,NSE,50.000000,SANOFI
14459,LEXUS-EQ,LEXUS,,-1.000000,1,,NSE,1.000000,LEXUS
14707,TIMETECHNO-EQ,TIMETECHNO,,-1.000000,1,,NSE,5.000000,TIMETECHNO
14778,131NSETEST-EQ,131NSETEST,,-1.000000,1,,NSE,5.000000,131NSETEST
14784,161NSETEST-EQ,161NSETEST,,-1.000000,1,,NSE,5.000000,161NSETEST
14813,ADSL-EQ,ADSL,,-1.000000,1,,NSE,1.000000,ADSL
1491,IFCI-EQ,IFCI,,-1.000000,1,,NSE,1.000000,IFCI
14900,SAHYADRI-EQ,SAHYADRI,,-1.000000,1,,NSE,5.000000,SAHYADRI
14908,KDDL-EQ,KDDL,,-1.000000,1,,NSE,10.000000,KDDL
1507,MOGSEC-EQ,MOGSEC,,-1.000000,1,,NSE,1.000000,MOGSEC
15085,SILVERETF-EQ,SILVERETF,,-1.000000,1,,NSE,1.000000,SILVERETF
15156,KALYANIFRG-EQ,KALYANIFRG,,-1.000000,1,,NSE,5.000000,KALYANIFRG
15254,CEATLTD-EQ,CEATLTD,,-1.000000,1,,NSE,10.000000,CEATLTD
15295,VIRINCHI-EQ,VIRINCHI,,-1.000000,1,,NSE,1.000000,VIRINCHI
15332,NMDC-EQ,NMDC,,-1.000000,1,,NSE,1.000000,NMDC
15391,RACE-EQ,RACE,,-1.000000,1,,NSE,5.000000,RACE
15420,ACL-EQ,ACL,,-1.000000,1,,NSE,1.000000,ACL
1660,ITC-EQ,ITC,,-1.000000,1,,NSE,5.000000,ITC
1663,SUNDROP-EQ,SUNDROP,,-1.000000,1,,NSE,5.000000,SUNDROP
16908,TOUCHWOOD-EQ,TOUCHWOOD,,-1.000000,1,,NSE,1.000000,TOUCHWOOD
16921,20MICRONS-EQ,20MICRONS,,-1.000000,1,,NSE,1.000000,20MICRONS
16959,ALKALI-EQ,ALKALI,,-1.000000,1,,NSE,1.000000,ALKALI
17022,MAWANASUG-EQ,MAWANASUG,,-1.000000,1,,NSE,1.000000,MAWANASUG
17130,PARAGMILK-EQ,PARAGMILK,,-1.000000,1,,NSE,1.000000,PARAGMILK
17186,SHRIPISTON-EQ,SHRIPISTON,,-1.000000,1,,NSE,10.000000,SHRIPISTON
17307,AJMERA-EQ,AJMERA,,-1.000000,1,,NSE,5.000000,AJMERA
17477,CONTROLPR-EQ,CONTROLPR,,-1.000000,1,,NSE,5.000000,CONTROLPR
17520,RTNPOWER-EQ,RTNPOWER,,-1.000000,1,,NSE,1.000000,RTNPOWER
17651,POKARNA-EQ,POKARNA,,-1.000000,1,,NSE,10.000000,POKARNA
17659,UNIVPHOTO-EQ,UNIVPHOTO,,-1.000000,1,,NSE,1.000000,UNIVPHOTO
17700,LTGILTBEES-EQ,LTGILTBEES,,-1.000000,1,,NSE,1.000000,LTGILTBEES
17818,LTIM-EQ,LTIM,,-1.000000,1,,NSE,50.000000,LTIM
18060,CONCORDBIO-EQ,CONCORDBIO,,-1.000000,1,,NSE,10.000000,CONCORDBIO
1826,KAMATHOTEL-EQ,KAMATHOTEL,,-1.000000,1,,NSE,1.000000,KAMATHOTEL
18252,SPAL-EQ,SPAL,,-1.000000,1,,NSE,5.000000,SPAL
18284,HNGSNGBEES-EQ,HNGSNGBEES,,-1.000000,1,,NSE,1.000000,HNGSNGBEES
18341,VPRPL-EQ,VPRPL,,-1.000000,1,,NSE,1.000000,VPRPL
18347,NIFMID150-EQ,NIFMID150,,-1.000000,1,,NSE,1.000000,NIFMID150
18359,SANDUMA-EQ,SANDUMA,,-1.000000,1,,NSE,5.000000,SANDUMA
18679,HPL-EQ,HPL,,-1.000000,1,,NSE,5.000000,HPL
19020,JSWINFRA-EQ,JSWINFRA,,-1.000000,1,,NSE,5.000000,JSWINFRA
19111,NBIFIN-EQ,NBIFIN,,-1.000000,1,,NSE,10.000000,NBIFIN
19410,ROSSARI-EQ,ROSSARI,,-1.000000,1,,NSE,5.000000,ROSSARI
19543,HDFCGOLD-EQ,HDFCGOLD,,-1.000000,1,,NSE,1.000000,HDFCGOLD
19556,BHANDARI-EQ,BHANDARI,,-1.000000,1,,NSE,1.000000,BHANDARI
19631,PRICOLLTD-EQ,PRICOLLTD,,-1.000000,1,,NSE,5.000000,PRICOLLTD
20152,ASKAUTOLTD-EQ,ASKAUTOLTD,,-1.000000,1,,NSE,5.000000,ASKAUTOLTD
20159,ARIHANTSUP-EQ,ARIHANTSUP,,-1.000000,1,,NSE,5.000000,ARIHANTSUP
20203,URJA-EQ,URJA,,-1.000000,1,,NSE,1.000000,URJA
20527,PRUDMOULI-EQ,PRUDMOULI,,-1.000000,1,,NSE,1.000000,PRUDMOULI
20560,DOLLAR-EQ,DOLLAR,,-1.000000,1,,NSE,5.000000,DOLLAR
20778,JAMNAAUTO-EQ,JAMNAAUTO,,-1.000000,1,,NSE,1.000000,JAMNAAUTO
20825,HUDCO-EQ,HUDCO,,-1.000000,1,,NSE,1.000000,HUDCO
20831,MUTHOOTMF-EQ,MUTHOOTMF,,-1.000000,1,,NSE,1.000000,MUTHOOTMF
20936,KIRLOSENG-EQ,KIRLOSENG,,-1.000000,1,,NSE,5.000000,KIRLOSENG
21001,PSB-EQ,PSB,,-1.000000,1,,NSE,1.000000,PSB
21113,BFINVEST-EQ,BFINVEST,,-1.000000,1,,NSE,5.000000,BFINVEST
21154,ERIS-EQ,ERIS,,-1.000000,1,,NSE,10.000000,ERIS
2144,BDL-EQ,BDL,,-1.000000,1,,NSE,10.000000,BDL
21399,GANGESSECU-EQ,GANGESSECU,,-1.000000,1,,NSE,1.000000,GANGESSECU
